epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.375,1.22118,1.47714,0.97682,0.99688,0.65477,0.98068,0.75027,0.84406,2.03326,0.84171,0.000652778,0.000652778,0.000652778
2,218.344,0.94586,0.69378,0.89084,0.98907,0.92675,0.99037,0.7349,0.87702,1.37045,0.8633,0.00131291,0.00131291,0.00131291
3,329.203,0.92582,0.64219,0.89283,0.98102,0.97541,0.99267,0.7919,0.78451,0.70796,0.86548,0.00196645,0.00196645,0.00196645
4,442.225,0.90424,0.61001,0.88274,0.96377,0.98566,0.98869,0.73428,0.9292,0.55428,0.89313,0.0019703,0.0019703,0.0019703
5,556.765,0.89985,0.56716,0.87788,0.97612,0.98429,0.99206,0.80992,0.73276,0.49912,0.84989,0.0019604,0.0019604,0.0019604
6,671.433,0.86015,0.5379,0.87726,0.97519,0.98634,0.99313,0.81787,0.70621,0.45879,0.84503,0.0019505,0.0019505,0.0019505
7,784.548,0.8238,0.49853,0.86793,0.98081,0.97777,0.99275,0.81229,0.70755,0.4512,0.84713,0.0019406,0.0019406,0.0019406
8,898.292,0.82491,0.48877,0.86843,0.97837,0.98867,0.99331,0.82451,0.68944,0.43371,0.84358,0.0019307,0.0019307,0.0019307
9,1011.01,0.81211,0.47447,0.86674,0.97964,0.98608,0.99315,0.7991,0.78084,0.44223,0.86104,0.0019208,0.0019208,0.0019208
10,1123.5,0.81617,0.46365,0.86626,0.97369,0.98579,0.99348,0.83333,0.66526,0.39882,0.83812,0.0019109,0.0019109,0.0019109
11,1236.2,0.7876,0.44596,0.86519,0.97385,0.98839,0.99283,0.8193,0.70909,0.4056,0.84813,0.001901,0.001901,0.001901
12,1349.5,0.79539,0.45205,0.86316,0.97608,0.99044,0.99318,0.8259,0.68361,0.40958,0.84681,0.0018911,0.0018911,0.0018911
13,1461.35,0.79335,0.44405,0.86279,0.9745,0.99179,0.99308,0.83474,0.66318,0.38995,0.84019,0.0018812,0.0018812,0.0018812
14,1573.33,0.78753,0.43331,0.86293,0.97836,0.988,0.99269,0.83674,0.65554,0.37461,0.83538,0.0018713,0.0018713,0.0018713
15,1685.61,0.78804,0.42314,0.8641,0.97415,0.99249,0.99332,0.82079,0.72519,0.39084,0.84946,0.0018614,0.0018614,0.0018614
16,1797.29,0.79268,0.42649,0.86302,0.97898,0.98613,0.99324,0.8353,0.6859,0.38874,0.84161,0.0018515,0.0018515,0.0018515
17,1910.32,0.7751,0.42706,0.86156,0.9745,0.98907,0.99359,0.83254,0.67567,0.3804,0.84093,0.0018416,0.0018416,0.0018416
18,2025.4,0.7718,0.42418,0.86515,0.97141,0.98292,0.99282,0.8297,0.69474,0.38113,0.8493,0.0018317,0.0018317,0.0018317
19,2139.87,0.77489,0.4231,0.86368,0.98422,0.98012,0.9933,0.83049,0.70545,0.37539,0.85025,0.0018218,0.0018218,0.0018218
20,2253.31,0.76503,0.40927,0.85996,0.9711,0.98686,0.99286,0.84235,0.66712,0.35543,0.84263,0.0018119,0.0018119,0.0018119
21,2366.02,0.75383,0.39866,0.85537,0.97545,0.98224,0.99276,0.8267,0.68411,0.36607,0.84386,0.001802,0.001802,0.001802
22,2478.12,0.75503,0.39826,0.85851,0.97891,0.98634,0.99343,0.83095,0.71085,0.36559,0.853,0.0017921,0.0017921,0.0017921
23,2590.77,0.76284,0.40026,0.86283,0.97956,0.98192,0.99307,0.83064,0.6938,0.36787,0.84777,0.0017822,0.0017822,0.0017822
24,2704.49,0.77109,0.40331,0.86128,0.97187,0.99044,0.99274,0.84393,0.66153,0.35004,0.84082,0.0017723,0.0017723,0.0017723
25,2816.93,0.75702,0.39549,0.85787,0.9799,0.98839,0.9937,0.84481,0.66546,0.34683,0.84223,0.0017624,0.0017624,0.0017624
26,2929.12,0.73464,0.38771,0.85827,0.97689,0.98975,0.99331,0.85443,0.65294,0.35084,0.83781,0.0017525,0.0017525,0.0017525
27,3041.21,0.74825,0.39096,0.8563,0.97666,0.98497,0.9932,0.84939,0.64355,0.34396,0.83619,0.0017426,0.0017426,0.0017426
28,3153.59,0.73192,0.38551,0.85701,0.9637,0.98907,0.99316,0.8459,0.66195,0.34647,0.83918,0.0017327,0.0017327,0.0017327
29,3267.26,0.73162,0.38166,0.85229,0.97904,0.98911,0.99344,0.85079,0.64045,0.33811,0.83537,0.0017228,0.0017228,0.0017228
30,3381.84,0.72876,0.37867,0.84815,0.97441,0.9882,0.99351,0.84754,0.66796,0.3337,0.84162,0.0017129,0.0017129,0.0017129
31,3494.39,0.74111,0.38089,0.8575,0.9746,0.9877,0.99356,0.84554,0.65652,0.33484,0.84008,0.001703,0.001703,0.001703
32,3607.22,0.70781,0.36653,0.84726,0.97704,0.98816,0.99313,0.85087,0.65404,0.33481,0.83769,0.0016931,0.0016931,0.0016931
33,3719.91,0.73219,0.37597,0.85601,0.97827,0.98386,0.99319,0.82956,0.72438,0.35236,0.85003,0.0016832,0.0016832,0.0016832
34,3833.74,0.72733,0.37642,0.85232,0.97891,0.98907,0.99321,0.85557,0.6493,0.34205,0.8396,0.0016733,0.0016733,0.0016733
35,3947.98,0.73601,0.37396,0.85391,0.98411,0.98292,0.99358,0.86161,0.63886,0.32603,0.83827,0.0016634,0.0016634,0.0016634
36,4062.41,0.72443,0.36762,0.8544,0.97339,0.98292,0.99304,0.85044,0.66239,0.3339,0.84282,0.0016535,0.0016535,0.0016535
37,4175.69,0.72292,0.36481,0.85314,0.97577,0.9918,0.99336,0.85496,0.65387,0.31765,0.83866,0.0016436,0.0016436,0.0016436
38,4289.79,0.72858,0.36518,0.85951,0.97519,0.99339,0.99367,0.85416,0.6501,0.32191,0.84036,0.0016337,0.0016337,0.0016337
39,4403.18,0.71978,0.36804,0.84987,0.97802,0.98361,0.99335,0.8637,0.63186,0.32009,0.83478,0.0016238,0.0016238,0.0016238
40,4517.39,0.70821,0.36189,0.85042,0.97861,0.98566,0.99351,0.85787,0.64299,0.32537,0.83549,0.0016139,0.0016139,0.0016139
41,4630.68,0.71422,0.36283,0.84688,0.98027,0.9877,0.9934,0.84917,0.64815,0.32003,0.83814,0.001604,0.001604,0.001604
42,4743.62,0.70679,0.35848,0.8518,0.97498,0.98483,0.99352,0.86023,0.63997,0.31864,0.83599,0.0015941,0.0015941,0.0015941
43,4856.71,0.72356,0.36499,0.85694,0.97492,0.9877,0.99372,0.85697,0.65341,0.32256,0.83876,0.0015842,0.0015842,0.0015842
44,4969.61,0.71438,0.35966,0.85101,0.97895,0.98429,0.9933,0.8552,0.63846,0.31863,0.83648,0.0015743,0.0015743,0.0015743
45,5083.16,0.71418,0.36059,0.85165,0.96797,0.98566,0.99283,0.84668,0.68227,0.33301,0.84752,0.0015644,0.0015644,0.0015644
46,5196.8,0.70338,0.35502,0.84992,0.97239,0.98907,0.99305,0.84803,0.66826,0.3211,0.84233,0.0015545,0.0015545,0.0015545
47,5310.68,0.70207,0.35477,0.84748,0.9823,0.98569,0.99397,0.86326,0.64291,0.31547,0.83772,0.0015446,0.0015446,0.0015446
48,5424.62,0.70772,0.35596,0.84774,0.96477,0.99154,0.99334,0.83657,0.70681,0.33435,0.85123,0.0015347,0.0015347,0.0015347
49,5538.83,0.70835,0.35911,0.85351,0.97834,0.98729,0.99386,0.86501,0.63886,0.31296,0.83717,0.0015248,0.0015248,0.0015248
50,5652.88,0.69457,0.34825,0.844,0.97948,0.98702,0.99356,0.86005,0.64844,0.31545,0.8367,0.0015149,0.0015149,0.0015149
51,5766.57,0.69998,0.34829,0.84573,0.97517,0.99244,0.99352,0.86574,0.62795,0.3066,0.8355,0.001505,0.001505,0.001505
52,5880.19,0.68598,0.3439,0.8486,0.97901,0.98702,0.99359,0.86616,0.63554,0.3055,0.83801,0.0014951,0.0014951,0.0014951
53,5993.93,0.69933,0.34595,0.84697,0.98289,0.98126,0.99349,0.86016,0.63409,0.31095,0.83621,0.0014852,0.0014852,0.0014852
54,6108.4,0.70697,0.34721,0.84657,0.97609,0.98975,0.99349,0.85392,0.65553,0.31135,0.84054,0.0014753,0.0014753,0.0014753
55,6222.41,0.69285,0.34135,0.84971,0.97207,0.98566,0.99307,0.85098,0.65952,0.31888,0.84295,0.0014654,0.0014654,0.0014654
56,6335.14,0.67464,0.33892,0.84487,0.97901,0.98769,0.99372,0.85931,0.65066,0.31021,0.8391,0.0014555,0.0014555,0.0014555
57,6448.99,0.6885,0.34106,0.84269,0.97974,0.98361,0.99374,0.86295,0.63353,0.30863,0.83547,0.0014456,0.0014456,0.0014456
58,6561.97,0.68433,0.3424,0.84561,0.97149,0.99112,0.99328,0.85661,0.63972,0.3082,0.8408,0.0014357,0.0014357,0.0014357
59,6674.77,0.69639,0.34839,0.85037,0.9751,0.98985,0.99316,0.86318,0.63652,0.30897,0.83872,0.0014258,0.0014258,0.0014258
60,6789.24,0.69318,0.34664,0.8491,0.97461,0.9959,0.99372,0.85991,0.63915,0.3076,0.83796,0.0014159,0.0014159,0.0014159
61,6902.73,0.69105,0.34503,0.84398,0.98026,0.98361,0.99333,0.85771,0.6324,0.30459,0.83522,0.001406,0.001406,0.001406
62,7016.4,0.674,0.33594,0.84522,0.97969,0.98842,0.99392,0.85634,0.63184,0.29999,0.83822,0.0013961,0.0013961,0.0013961
63,7131.02,0.68226,0.33953,0.84791,0.97379,0.98984,0.9935,0.85763,0.6454,0.30246,0.83916,0.0013862,0.0013862,0.0013862
64,7243.91,0.66995,0.33327,0.84233,0.9771,0.98839,0.9935,0.8531,0.6543,0.30601,0.84046,0.0013763,0.0013763,0.0013763
65,7357.28,0.68382,0.33751,0.84683,0.97796,0.98702,0.99308,0.8605,0.63873,0.29775,0.83815,0.0013664,0.0013664,0.0013664
66,7470.16,0.67394,0.33962,0.84367,0.97451,0.98497,0.9933,0.86082,0.62609,0.30269,0.83555,0.0013565,0.0013565,0.0013565
67,7583.17,0.67502,0.33924,0.84467,0.97502,0.98975,0.99333,0.85729,0.6413,0.30026,0.8397,0.0013466,0.0013466,0.0013466
68,7697.18,0.67593,0.3325,0.84591,0.97761,0.98361,0.99338,0.86473,0.62507,0.29476,0.83689,0.0013367,0.0013367,0.0013367
69,7811.42,0.67123,0.33177,0.84139,0.97953,0.98066,0.99363,0.86039,0.62757,0.29733,0.83654,0.0013268,0.0013268,0.0013268
70,7925.14,0.67911,0.33199,0.84911,0.97504,0.98735,0.99378,0.85678,0.65119,0.3003,0.84045,0.0013169,0.0013169,0.0013169
71,8038.61,0.68813,0.33554,0.84603,0.97597,0.98702,0.99372,0.86497,0.6321,0.29843,0.83655,0.001307,0.001307,0.001307
72,8152.53,0.67183,0.33218,0.84477,0.97225,0.98907,0.99351,0.86558,0.62829,0.29244,0.83447,0.0012971,0.0012971,0.0012971
73,8266.04,0.6719,0.33053,0.84774,0.97771,0.98854,0.99357,0.86192,0.63613,0.29697,0.83841,0.0012872,0.0012872,0.0012872
74,8379.99,0.67439,0.32846,0.84594,0.97454,0.9918,0.99369,0.86243,0.63408,0.30087,0.83598,0.0012773,0.0012773,0.0012773
75,8493.74,0.67852,0.33439,0.84646,0.97194,0.99372,0.99352,0.85394,0.66597,0.30201,0.84029,0.0012674,0.0012674,0.0012674
76,8607.31,0.67002,0.32812,0.84458,0.97645,0.9913,0.9937,0.86895,0.61833,0.28886,0.83257,0.0012575,0.0012575,0.0012575
77,8721.13,0.67124,0.32946,0.84469,0.96993,0.99249,0.99342,0.87147,0.62276,0.29323,0.83443,0.0012476,0.0012476,0.0012476
78,8835.81,0.65747,0.32249,0.84765,0.97696,0.98491,0.9935,0.86136,0.61907,0.29473,0.83494,0.0012377,0.0012377,0.0012377
79,8949.37,0.65809,0.32388,0.84325,0.9738,0.98997,0.99359,0.85852,0.64463,0.29335,0.83983,0.0012278,0.0012278,0.0012278
80,9063.15,0.6684,0.32525,0.84603,0.98365,0.98633,0.99377,0.86336,0.6316,0.29079,0.8376,0.0012179,0.0012179,0.0012179
81,9177.25,0.66127,0.32435,0.84321,0.97709,0.99042,0.99349,0.86753,0.62338,0.29161,0.83367,0.001208,0.001208,0.001208
82,9291.06,0.67193,0.32996,0.84144,0.97343,0.98975,0.99341,0.86435,0.6398,0.2948,0.83956,0.0011981,0.0011981,0.0011981
83,9405.85,0.66299,0.32305,0.8399,0.97929,0.9877,0.99355,0.87012,0.6111,0.28335,0.83257,0.0011882,0.0011882,0.0011882
84,9520.15,0.65427,0.3209,0.84269,0.97829,0.98634,0.99352,0.85967,0.63455,0.2945,0.83666,0.0011783,0.0011783,0.0011783
85,9633.57,0.65701,0.32166,0.84495,0.97572,0.98824,0.99368,0.87341,0.6116,0.28704,0.83173,0.0011684,0.0011684,0.0011684
86,9746.97,0.65389,0.31931,0.84043,0.98361,0.98398,0.99385,0.86883,0.61953,0.2838,0.83444,0.0011585,0.0011585,0.0011585
87,9861.34,0.6608,0.31922,0.84312,0.98361,0.98087,0.99364,0.85949,0.64946,0.29507,0.83875,0.0011486,0.0011486,0.0011486
