epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3572,1.83355,3.27954,1.49635,0.0221,0.9375,0.04569,0.02003,1.45097,3.07376,1.39731,6e-05,6e-05,6e-05
2,79.1683,1.44362,2.76158,1.24321,0.02536,0.9875,0.28848,0.1147,1.26296,2.93898,1.21046,0.000138614,0.000138614,0.000138614
3,102.079,1.25473,1.79536,1.06371,0.09602,0.9,0.78251,0.38962,1.24641,2.5274,1.04509,0.000215644,0.000215644,0.000215644
4,124.123,1.10316,1.2285,1.02593,0.91879,0.42427,0.78512,0.37075,1.22593,2.4729,1.09164,0.00029109,0.00029109,0.00029109
5,176.117,1.04462,1.00754,0.99014,0.86729,0.55,0.79175,0.36882,1.19503,2.36442,1.06941,0.000364952,0.000364952,0.000364952
6,199.244,1.03369,0.93049,0.97189,0.85011,0.5,0.73303,0.38803,1.21785,2.36686,1.09875,0.00043723,0.00043723,0.00043723
7,221.579,1.00429,0.88196,0.96261,0.73022,0.33836,0.40759,0.20776,1.21024,2.83402,1.22055,0.000507924,0.000507924,0.000507924
8,243.507,0.99928,0.84096,0.9642,0.51864,0.56568,0.44401,0.20165,1.28472,2.73098,1.20308,0.000577034,0.000577034,0.000577034
9,265.509,0.93372,0.77538,0.94825,0.79734,0.49184,0.61573,0.35341,1.18649,2.38952,1.08446,0.00064456,0.00064456,0.00064456
10,287.755,0.93224,0.80835,0.96508,0.80591,0.51909,0.65734,0.38918,1.20342,2.38841,1.11358,0.000710502,0.000710502,0.000710502
11,310.185,0.88947,0.72625,0.93232,0.81711,0.45,0.57128,0.3196,1.30952,2.65216,1.26567,0.00077486,0.00077486,0.00077486
12,333.168,0.92641,0.71351,0.94205,0.81134,0.53755,0.60812,0.36109,1.14854,2.36831,1.11158,0.000837634,0.000837634,0.000837634
13,360.123,0.92269,0.69475,0.93553,0.87857,0.81397,0.85418,0.54689,1.05241,1.72104,1.00312,0.000898824,0.000898824,0.000898824
14,388.742,0.92056,0.71038,0.94758,0.8553,0.8,0.85645,0.55704,1.09158,1.59516,1.04612,0.00095843,0.00095843,0.00095843
15,415.3,0.90239,0.6876,0.96864,0.88213,0.74838,0.85077,0.589,0.98192,1.6771,1.00214,0.00101645,0.00101645,0.00101645
16,441.885,0.88429,0.65596,0.9451,0.96226,0.95623,0.99066,0.70951,0.95067,1.36734,1.00155,0.00107289,0.00107289,0.00107289
17,468.685,0.85545,0.65002,0.91605,0.96685,0.975,0.98122,0.72646,1.00109,1.11224,1.05587,0.00112774,0.00112774,0.00112774
18,495.758,0.84829,0.63332,0.93637,1,0.9976,0.995,0.6976,1.06662,0.84819,1.09605,0.00118101,0.00118101,0.00118101
19,524.262,0.86799,0.67835,0.96148,0.99696,0.975,0.98595,0.70705,1.03019,0.75957,1.07772,0.0012327,0.0012327,0.0012327
20,551.103,0.84377,0.62985,0.93232,0.96274,0.96891,0.98941,0.70963,0.97495,0.80361,1.05041,0.0012828,0.0012828,0.0012828
21,578.252,0.8852,0.64915,0.9394,0.98263,0.975,0.98525,0.69578,1.05592,0.86124,1.14842,0.00133132,0.00133132,0.00133132
22,606.233,0.83791,0.63747,0.93983,0.99667,0.9875,0.99441,0.72584,0.98252,0.76849,1.12397,0.00137825,0.00137825,0.00137825
23,634.5,0.87765,0.64173,0.94311,1,0.99575,0.995,0.72009,0.96017,0.69444,1.11569,0.0014236,0.0014236,0.0014236
24,663.702,0.81847,0.60323,0.92757,0.99316,0.9875,0.99476,0.67665,1.04789,0.65177,1.14057,0.00146737,0.00146737,0.00146737
25,693.628,0.85055,0.60177,0.93636,0.98747,0.98517,0.97424,0.69615,1.00026,0.60036,1.11176,0.00150955,0.00150955,0.00150955
26,725.593,0.83887,0.61419,0.95302,0.97355,0.9875,0.97385,0.71875,0.98545,0.60272,1.08881,0.001505,0.001505,0.001505
27,756.912,0.84081,0.57581,0.95272,0.98603,1,0.99488,0.72631,0.95948,0.68512,1.07183,0.0014852,0.0014852,0.0014852
28,788.37,0.81178,0.55682,0.91876,0.99704,1,0.995,0.69726,1.04763,0.73818,1.12278,0.0014654,0.0014654,0.0014654
29,1720.05,0.83757,0.562,0.9247,1,0.99814,0.995,0.70895,1.03242,0.69832,1.12258,0.0014456,0.0014456,0.0014456
30,2735.11,0.79227,0.55391,0.92962,1,0.99837,0.995,0.72848,0.96777,0.58789,1.09791,0.0014258,0.0014258,0.0014258
31,5705.9,0.85007,0.57358,0.94762,0.98588,0.9875,0.99388,0.72844,0.96636,0.53927,1.0925,0.001406,0.001406,0.001406
32,6694.87,0.82417,0.53773,0.93176,0.97529,0.98683,0.99302,0.7038,1.02281,0.52696,1.12002,0.0013862,0.0013862,0.0013862
33,8719.55,0.81939,0.54601,0.93759,0.99871,1,0.995,0.72154,0.98181,0.50036,1.12156,0.0013664,0.0013664,0.0013664
34,9499.8,0.83642,0.55276,0.94705,0.99897,1,0.995,0.73199,0.94284,0.50221,1.0976,0.0013466,0.0013466,0.0013466
35,9617.57,0.80228,0.53355,0.9245,0.99901,1,0.995,0.71922,0.97596,0.5128,1.11624,0.0013268,0.0013268,0.0013268
36,9723.26,0.79389,0.51966,0.93,0.99909,1,0.995,0.74037,0.94144,0.50369,1.11067,0.001307,0.001307,0.001307
37,9823.47,0.75589,0.52986,0.90959,0.99915,1,0.995,0.71907,0.98732,0.49975,1.11652,0.0012872,0.0012872,0.0012872
38,9904.73,0.81328,0.53195,0.92795,0.99914,1,0.995,0.72029,0.98096,0.48646,1.10245,0.0012674,0.0012674,0.0012674
39,10017.8,0.77245,0.50404,0.91785,0.99917,1,0.995,0.70967,0.93813,0.48483,1.08041,0.0012476,0.0012476,0.0012476
40,10129.8,0.82362,0.51549,0.94008,0.9991,1,0.995,0.72179,0.92331,0.49317,1.07256,0.0012278,0.0012278,0.0012278
41,10234.7,0.77293,0.53155,0.92951,1,0.99892,0.995,0.70962,0.97333,0.5084,1.11405,0.001208,0.001208,0.001208
42,10332.9,0.84174,0.52519,0.93983,0.99931,1,0.995,0.70584,0.9667,0.49821,1.10553,0.0011882,0.0011882,0.0011882
43,10413.8,0.7829,0.51166,0.92412,0.99912,1,0.995,0.73043,0.91741,0.47012,1.07543,0.0011684,0.0011684,0.0011684
44,10531.1,0.73478,0.4775,0.90254,0.99875,1,0.995,0.7316,0.89032,0.45747,1.06679,0.0011486,0.0011486,0.0011486
45,10634.5,0.7516,0.49575,0.91302,0.99851,1,0.995,0.7397,0.90501,0.45994,1.07588,0.0011288,0.0011288,0.0011288
46,10704.4,0.76978,0.50522,0.91638,0.99879,1,0.995,0.73569,0.92036,0.45749,1.08992,0.001109,0.001109,0.001109
47,10801.8,0.7869,0.52537,0.93058,0.99899,1,0.995,0.7358,0.91422,0.44267,1.08566,0.0010892,0.0010892,0.0010892
48,10907.3,0.72214,0.46773,0.89952,0.9867,0.9875,0.98127,0.73304,0.9097,0.43688,1.07779,0.0010694,0.0010694,0.0010694
49,11017.6,0.76,0.47947,0.91868,0.99933,1,0.995,0.73933,0.89275,0.4321,1.07049,0.0010496,0.0010496,0.0010496
50,11122.9,0.72058,0.4654,0.90882,0.99922,1,0.995,0.74938,0.87677,0.4369,1.06511,0.0010298,0.0010298,0.0010298
51,11190.3,0.74771,0.47441,0.93559,0.99918,1,0.995,0.72299,0.94594,0.44773,1.10359,0.00101,0.00101,0.00101
52,11262.6,0.76352,0.47597,0.91583,0.99929,1,0.995,0.71195,0.97173,0.46102,1.12117,0.0009902,0.0009902,0.0009902
53,11370.8,0.76236,0.46975,0.91793,0.99928,1,0.995,0.73788,0.90879,0.45025,1.08072,0.0009704,0.0009704,0.0009704
54,11448.2,0.73059,0.47646,0.91558,0.99928,1,0.995,0.74865,0.88779,0.43095,1.06689,0.0009506,0.0009506,0.0009506
